ステータス,FC実施年月日,性別,年代,CEFR,在住国,識別用のラベル,流入経路,集客経路
失注,2022-01-03,女性,36〜45,B2,国外,不明,不明,バイリンガール
入会,2022-01-04,男性,36〜45,A1,日本,不明,不明,不明
失注,2022-01-06,男性,不明,A1,日本,不明,不明,不明
失注,2022-01-07,男性,31〜35,B2,国外,不明,不明,不明
入会,2022-01-07,男性,36〜45,B1,国外,不明,不明,バイリンガール
NS失注,2022-01-07,男性,不明,不明,日本,不明,不明,不明
入会,2022-01-08,男性,36〜45,B1,日本,不明,不明,比較サイト
失注,2022-01-08,女性,26〜30,B1,日本,不明,不明,その他
入会,2022-01-09,男性,36〜45,A2,日本,不明,不明,不明
失注,2022-01-11,女性,36〜45,B1,国外,不明,不明,不明
NS失注,2022-01-12,女性,61以上,不明,日本,不明,不明,不明
入会,2022-01-12,女性,36〜45,A2,日本,不明,不明,不明
NS失注,2022-01-12,女性,不明,不明,日本,不明,不明,不明
失注,2022-01-12,女性,36〜45,B1,国外,不明,不明,不明
入会,2022-01-13,男性,31〜35,B1,日本,不明,不明,比較サイト
失注,2022-01-13,女性,46〜60,A2,日本,不明,不明,不明
失注,2022-01-14,女性,46〜60,B1,日本,不明,不明,不明
入会,2022-01-14,男性,31〜35,B1,日本,不明,不明,比較サイト
入会,2022-01-14,男性,31〜35,B1,日本,不明,不明,バイリンガール
NS失注,2022-01-14,男性,不明,不明,日本,不明,不明,不明
失注,2022-01-14,女性,46〜60,B1,日本,不明,不明,バイリンガール
失注,2022-01-14,男性,36〜45,B1,日本,不明,不明,比較サイト
入会,2022-01-17,女性,36〜45,B1,日本,不明,不明,比較サイト
失注,2022-01-17,女性,26〜30,B1,日本,不明,不明,バイリンガール
入会,2022-01-19,女性,36〜45,A2,国外,不明,不明,バイリンガール
入会,2022-01-19,男性,36〜45,A2,日本,不明,不明,検索
失注,2022-01-20,女性,26〜30,B1,国外,不明,不明,バイリンガール
入会,2022-01-20,男性,36〜45,B1,国外,不明,不明,A8 本気の英会話
NS失注,2022-01-20,女性,36〜45,不明,不明,不明,不明,不明
失注,2022-01-21,男性,36〜45,B1,日本,不明,不明,バイリンガール
失注,2022-01-22,女性,26〜30,B1,日本,不明,不明,バイリンガール
入会,2022-01-22,女性,46〜60,B1,日本,不明,不明,バイリンガール
NS失注,2022-01-22,女性,不明,不明,不明,不明,不明,不明
失注,2022-01-23,女性,46〜60,B1,日本,不明,不明,バイリンガール
入会,2022-01-23,男性,36〜45,B1,日本,不明,不明,バイリンガール
失注,2022-01-23,女性,46〜60,B1,日本,不明,不明,バイリンガール
失注,2022-01-23,女性,36〜45,A2,日本,不明,不明,バイリンガール
NS失注,2022-01-23,男性,不明,不明,不明,不明,不明,不明
失注,2022-01-23,女性,36〜45,B1,国外,不明,不明,バイリンガール
失注,2022-01-23,女性,36〜45,A1,日本,不明,不明,バイリンガール
失注,2022-01-23,女性,31〜35,B1,国外,不明,不明,バイリンガール
失注,2022-01-24,女性,46〜60,A1,日本,不明,不明,バイリンガール
入会,2022-01-24,男性,36〜45,B1,不明,不明,不明,A8 本気の英会話
失注,2022-01-24,女性,36〜45,B2,日本,不明,不明,バイリンガール
入会,2022-01-24,女性,46〜60,不明,日本,不明,不明,タビケン留学
入会,2022-01-24,女性,46〜60,B1,不明,不明,不明,バイリンガール
失注,2022-01-24,女性,36〜45,B1,不明,不明,不明,バイリンガール
失注,2022-01-26,男性,36〜45,A2,国外,不明,不明,バイリンガール
入会,2022-01-26,男性,46〜60,B1,不明,不明,不明,不明
入会,2022-01-26,男性,46〜60,B1,日本,不明,不明,バイリンガール
NS失注,2022-01-26,女性,不明,不明,国外,不明,不明,不明
NS失注,2022-01-26,女性,不明,不明,不明,不明,不明,不明
失注,2022-01-26,女性,36〜45,A2,日本,不明,不明,バイリンガール
NS失注,2022-01-26,女性,不明,不明,不明,不明,不明,不明
NS失注,2022-01-27,男性,不明,不明,不明,不明,不明,不明
入会,2022-01-27,女性,36〜45,A1,日本,不明,不明,バイリンガール
失注,2022-01-27,女性,31〜35,B1,日本,不明,不明,バイリンガール
NS失注,2022-01-27,女性,26〜30,不明,不明,不明,不明,不明
入会,2022-01-28,女性,46〜60,B1,日本,不明,不明,バイリンガール
失注,2022-01-28,男性,36〜45,B1,日本,不明,不明,バイリンガール
失注,2022-01-28,女性,18〜25,B1,日本,不明,不明,バイリンガール
失注,2022-01-29,男性,36〜45,B1,日本,不明,不明,検索
NS失注,2022-01-29,男性,不明,不明,不明,不明,不明,不明
入会,2022-01-29,女性,61以上,A2,国外,不明,不明,バイリンガール
NS失注,2022-01-29,男性,不明,不明,不明,不明,不明,不明
失注,2022-01-29,女性,31〜35,A2,日本,不明,不明,バイリンガール
入会,2022-01-30,女性,36〜45,B1,日本,不明,不明,バイリンガール
失注,2022-01-30,女性,36〜45,B1,日本,不明,不明,バイリンガール
失注,2022-01-30,女性,不明,A2,日本,不明,不明,バイリンガール
入会,2022-01-30,男性,46〜60,A2,日本,不明,不明,A8 その他
失注,2022-01-30,女性,18〜25,A1,日本,不明,不明,比較サイト
失注,2022-01-30,女性,36〜45,A2,日本,不明,不明,バイリンガール
失注,2022-01-31,女性,46〜60,A1,日本,不明,不明,バイリンガール
入会,2022-01-31,男性,36〜45,A1,日本,不明,不明,バイリンガール
入会,2022-01-31,女性,31〜35,A1,日本,不明,不明,バイリンガール
失注,2022-02-01,女性,31〜35,A1,日本,不明,不明,バイリンガール
入会,2022-02-01,女性,46〜60,A1,日本,不明,不明,バイリンガール
入会,2022-02-02,男性,46〜60,A2,日本,不明,不明,バイリンガール
失注,2022-02-02,男性,18〜25,A1,日本,不明,不明,バイリンガール
失注,2022-02-03,男性,31〜35,A2,日本,不明,不明,バイリンガール
入会,2022-02-04,女性,36〜45,B1,日本,不明,不明,バイリンガール
入会,2022-02-04,女性,36〜45,A2,日本,不明,不明,バイリンガール
入会,2022-02-04,男性,31〜35,A2,日本,不明,不明,A8 その他
入会,2022-02-04,女性,31〜35,A2,日本,不明,不明,バイリンガール
入会,2022-02-04,女性,26〜30,B1,日本,不明,不明,バイリンガール
失注,2022-02-04,女性,36〜45,B1,日本,不明,不明,バイリンガール
失注,2022-02-06,女性,31〜35,A2,国外,不明,不明,バイリンガール
失注,2022-02-06,男性,46〜60,TOEIC,日本,不明,不明,検索
失注,2022-02-07,女性,31〜35,B1,国外,不明,不明,バイリンガール
入会,2022-02-08,女性,36〜45,B1,日本,不明,不明,バイリンガール
入会,2022-02-09,女性,26〜30,A2,日本,不明,不明,バイリンガール
入会,2022-02-09,男性,26〜30,A2,日本,不明,不明,比較サイト
入会,2022-02-10,男性,36〜45,B1,日本,不明,不明,検索
失注,2022-02-10,女性,46〜60,B1,日本,不明,不明,比較サイト
入会,2022-02-12,女性,26〜30,B1,国外,不明,不明,比較サイト
入会,2022-02-12,男性,26〜30,B1,国外,不明,不明,バイリンガール
入会,2022-02-12,女性,26〜30,A2,日本,不明,不明,比較サイト
入会,2022-02-12,女性,61以上,A2,日本,不明,不明,受講生紹介
失注,2022-02-14,女性,26〜30,B1,日本,不明,不明,バイリンガール
失注,2022-02-14,男性,26〜30,A2,日本,不明,不明,検索
NS失注,2022-02-14,男性,18〜25,不明,不明,不明,不明,不明
入会,2022-02-14,女性,46〜60,A2,国外,不明,不明,バイリンガール
失注,2022-02-14,女性,31〜35,B1,日本,不明,不明,バイリンガール
失注,2022-02-16,女性,31〜35,B1,日本,不明,不明,検索
失注,2022-02-16,男性,31〜35,B1,日本,不明,不明,バイリンガール
失注,2022-02-16,女性,不明,B1,日本,不明,不明,検索
入会,2022-02-17,女性,61以上,B1,日本,不明,不明,バイリンガール
失注,2022-02-17,女性,31〜35,A1,日本,不明,不明,バイリンガール
失注,2022-02-18,男性,46〜60,A2,日本,不明,不明,受講生紹介
失注,2022-02-19,男性,36〜45,A2,日本,不明,不明,検索
失注,2022-02-19,不明,26〜30,A2,不明,不明,不明,不明
失注,2022-02-19,男性,不明,A2,日本,不明,不明,不明
NS失注,2022-02-19,不明,不明,不明,不明,不明,不明,不明
失注,2022-02-21,男性,36〜45,B1,日本,不明,不明,A8 忍者英会話
